type,region,name,population,date
Республика Беларусь,Республика Беларусь,Республика Беларусь,9465150,2012
область,Брестская область,Брестская область,1391476,2012
район,Брестская область,Барановичский район,40193,2012
городской поселок,Брестская область,Городище,2153,2012
район,Брестская область,Березовский район,65483,2012
город,Брестская область,Береза,29335,2012
город,Брестская область,Белоозерск,12508,2012
район,Брестская область,Брестский район,39532,2012
городской поселок,Брестская область,Домачево,1250,2012
район,Брестская область,Ганцевичский район,29820,2012
город,Брестская область,Ганцевичи,13861,2012
район,Брестская область,Дрогичинский район,40608,2012
город,Брестская область,Дрогичин,14618,2012
городской поселок,Брестская область,Антополь,1558,2012
район,Брестская область,Жабинковский район,24843,2012
город,Брестская область,Жабинка,13272,2012
район,Брестская область,Ивановский район,41977,2012
город,Брестская область,Иваново,16381,2012
район,Брестская область,Ивацевичский район,57669,2012
город,Брестская область,Ивацевичи,23269,2012
город,Брестская область,Коссово,1984,2012
городской поселок,Брестская область,Телеханы,4094,2012
район,Брестская область,Каменецкий район,37606,2012
город,Брестская область,Каменец,8432,2012
город,Брестская область,Высокое,5325,2012
район,Брестская область,Кобринский район,86639,2012
город,Брестская область,Кобрин,51687,2012
район,Брестская область,Лунинецкий район,71039,2012
город,Брестская область,Лунинец,23949,2012
город,Брестская область,Микашевичи,12932,2012
район,Брестская область,Ляховичский район,28688,2012
город,Брестская область,Ляховичи,10900,2012
район,Брестская область,Малоритский район,25084,2012
город,Брестская область,Малорита,11713,2012
район,Брестская область,Пинский район,49298,2012
городской поселок,Брестская область,Логишин,2167,2012
район,Брестская область,Пружанский район,50349,2012
город,Брестская область,Пружаны,18796,2012
городской поселок,Брестская область,Ружаны,3082,2012
городской поселок,Брестская область,Шерешево,1831,2012
район,Брестская область,Столинский район,77657,2012
город,Брестская область,Столин,12353,2012
город,Брестская область,Давид-Городок,6318,2012
рабочий поселок,Брестская область,Речица,6243,2012
город,Брестская область,Брест,320920,2012
город,Брестская область,Барановичи,169841,2012
город,Брестская область,Пинск,134230,2012
область,Витебская область,Витебская область,1214041,2012
район,Витебская область,Бешенковичский район,17113,2012
городской поселок,Витебская область,Бешенковичи,6902,2012
район,Витебская область,Браславский район,27945,2012
город,Витебская область,Браслав,9540,2012
городской поселок,Витебская область,Видзы,1832,2012
район,Витебская область,Верхнедвинский район,23389,2012
город,Витебская область,Верхнедвинск,7236,2012
городской поселок,Витебская область,Освея,1248,2012
район,Витебская область,Витебский район,38340,2012
городской поселок,Витебская область,Сураж,948,2012
городской поселок,Витебская область,Яновичи,845,2012
район,Витебская область,Глубокский район,39372,2012
город,Витебская область,Глубокое,18481,2012
городской поселок,Витебская область,Подсвилье,2152,2012
район,Витебская область,Городокский район,24882,2012
город,Витебская область,Городок,12436,2012
городской поселок,Витебская область,Езерище,1429,2012
район,Витебская область,Докшицкий район,25319,2012
город,Витебская область,Докшицы,6709,2012
городской поселок,Витебская область,Бегомль,2680,2012
район,Витебская область,Дубровенский район,15868,2012
